,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,TrialNumber,distance,prediction,label,is_test,SubjectNr,TrialNumber,Block,Score
111,120,3,0.197858158,43.97604255,76.09,10.0,20,2.6031,4.8698,0.2982,0.2982,1,28,1.0001143730260567,Speed,Speed,FALSE,102,28,3,0.124
112,120,3,0.197858158,26.32139831,73.06,10.0,20,2.6028,4.8944,0.3727,0.3727,1,29,2.520066738142623,Speed,Speed,FALSE,102,29,3,0.122
113,120,3,0.197858158,24.74269962,49.16,5.0,16,1.40415,3.4541,0.3234,0.4454,3,30,0.01857075468562519,Speed,Speed,FALSE,102,30,3,0.104
114,120,3,0.197858158,37.399875,63.67,10.0,20,2.7862,5.1612,0.226,0.226,1,31,1.5006740705407595,Speed,Speed,FALSE,102,31,3,0.125
115,120,3,0.197858158,36.52692857,64.29,10.0,20,3.16465,5.9932,0.2986,0.2986,1,32,1.976776802496707,Speed,Speed,FALSE,102,32,4,0.093
116,120,3,0.197858158,28.28171875,60.99,5.0,18,1.3409,3.6332,0.39593333299999994,0.736,3,33,1.6192049918228748,Speed,Speed,FALSE,102,33,4,0.105
117,120,3,0.197858158,27.65506122,63.89,10.0,20,2.72875,5.1972,0.2266,0.2266,1,34,2.541614985918207,Speed,Speed,FALSE,102,34,4,0.109
118,120,3,0.197858158,46.16292969,85.96,6.666666667,20,1.852333333,4.8148,0.4079,0.5901,2,35,1.1642070674477822,Speed,Speed,FALSE,102,35,4,0.1
119,120,3,0.197858158,32.76746988,66.98,10.0,20,2.76305,5.215,0.37200000000000005,0.37200000000000005,1,36,2.2106605741409937,Speed,Speed,FALSE,102,36,4,0.122
120,80,3,0.197858158,14.27665025,33.73,20.0,20,4.573,4.573,0.0,0.0,0,47,0.999774297136908,Speed,Speed,FALSE,102,47,1,0.166
121,80,3,0.197858158,23.64095477,53.16,20.0,20,4.47,4.47,0.0,0.0,0,48,4.789584820655146,Speed,Speed,FALSE,102,48,1,0.17
122,80,3,0.197858158,65.09880952,102.61,20.0,20,6.1079,6.1079,0.0,0.0,0,49,1.9996626606787462,Speed,Speed,FALSE,102,49,1,-0.044
123,80,3,0.197858158,36.36977987,70.11,4.0,20,1.3843,4.8439,0.23,0.3505,4,50,1.037188881786332,Speed,Speed,FALSE,102,50,1,0.068
124,80,3,0.197858158,61.81260331,100.3,10.0,20,2.70115,5.0917,0.1445,0.1445,1,51,1.5779049578648188,Speed,Speed,FALSE,102,51,1,0.025
125,80,3,0.197858158,36.94613636,71.26,20.0,20,4.9955,4.9955,0.0,0.0,0,52,4.547182230622696,Speed,Speed,FALSE,102,52,2,0.151
126,80,3,0.197858158,22.67019685,76.4,20.0,20,5.8219,5.8219,0.0,0.0,0,53,4.782248856133527,Speed,Speed,TRUE,102,53,2,0.115
127,80,3,0.197858158,42.89034146,66.75,20.0,20,4.6201,4.6201,0.0,0.0,0,54,3.2111375844027017,Speed,Speed,FALSE,102,54,2,0.164
128,80,3,0.197858158,30.31962264,67.98,20.0,20,4.7749,4.7749,0.0,0.0,0,55,5.410566708377771,Speed,Speed,FALSE,102,55,2,0.149
129,80,3,0.197858158,75.77106977,126.39,20.0,20,5.0981,5.0981,0.0,0.0,0,56,0.9998400913090381,Speed,Speed,FALSE,102,56,2,-0.2
130,80,3,0.197858158,23.98241525,51.2,10.0,20,2.6255,4.8658,0.2809,0.2809,1,57,2.4177142227324286,Speed,Speed,FALSE,102,57,3,0.133
131,80,3,0.197858158,28.48286232,48.25,10.0,20,3.2951,6.2764,0.1439,0.1439,1,58,2.7617975310158287,Speed,Speed,FALSE,102,58,3,0.071
132,80,3,0.197858158,40.34080645,65.66,20.0,20,5.6729,5.6729,0.0,0.0,0,59,4.694122767371385,Speed,Speed,FALSE,102,59,3,0.119
