,PayOffFunction,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow
391,Speed,80,3,0.316916315789474,82.15,10,3,1.65355
2,Speed,80,3,0.30855368421052604,69.16,8,2,2.06063333333333
573,Speed,80,3,0.264108157894737,41.92,20,0,5.6721
453,Speed,80,3,0.38419394736842105,64.32,11,1,3.43915
947,Speed,80,3,0.38239945906432704,97.66,9,3,2.785175
441,Speed,80,3,0.38419394736842105,76.3,11,1,3.7784
740,Speed,80,3,0.18430421052631601,68.82,19,1,2.72635
577,Speed,80,3,0.264108157894737,51.44,20,0,5.8721
553,Speed,80,5,0.28634421052631603,118.16,9,5,1.06338333333333
352,Speed,80,5,0.316916315789474,104.59,10,4,1.78972
544,Speed,80,5,0.28634421052631603,171.54,12,1,3.451
810,Speed,80,5,0.394169473684211,149.4,8,2,3.38893333333333
688,Speed,80,5,0.184142105263158,135.59,14,1,2.28975
549,Speed,80,5,0.28634421052631603,93.23,15,1,2.7949
684,Speed,80,5,0.184142105263158,80.57,20,0,4.3959
540,Speed,80,5,0.28634421052631603,93.91,9,4,1.40586
614,Speed,80,5,0.264108157894737,136.02,11,1,3.01525
780,Speed,80,5,0.18430421052631601,74.45,20,0,4.6569
230,Speed,80,5,0.39388921052631604,94.54,5,6,1.34038571428571
911,Speed,80,5,0.38239945906432704,141.08,6,4,2.4189
54,Speed,80,5,0.30855368421052604,89.19,5,5,1.17635
811,Speed,80,5,0.394169473684211,112.01,9,3,2.341375
690,Speed,80,5,0.184142105263158,109.19,12,1,2.32695
275,Speed,80,5,0.469810526315789,101.62,8,6,2.1299142857142903
227,Speed,80,5,0.39388921052631604,114.45,7,4,1.9
91,Speed,80,5,0.197858157894737,93.51,9,2,1.82956666666667
410,Speed,80,5,0.38419394736842105,89.89,9,2,2.18713333333333
86,Speed,80,5,0.197858157894737,49.11,9,2,2.00383333333333
344,Speed,80,5,0.316916315789474,139.84,9,4,1.9262599999999999
354,Speed,80,5,0.316916315789474,110.37,10,3,2.01085
687,Speed,80,5,0.184142105263158,112.48,16,1,2.1401
57,Speed,80,5,0.30855368421052604,101.5,3,7,1.0898625
1179,Accuracy,80,3,0.27560500000000004,51.39,5,3,1.6668
1112,Accuracy,80,3,0.25489235380117004,43.9,4,6,0.626485714285714
1558,Accuracy,80,3,0.4514504970760229,110.91,8,3,2.5658
1545,Accuracy,80,3,0.4514504970760229,61.79,6,4,2.35928
