TrialNumber,PayOffFunction,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter
58,Speed,80,3,0.197858158,28.48286232,48.25,10,20,3.2951,6.2764,0.1439,0.1439,1
59,Speed,80,3,0.197858158,40.34080645,65.66,20,20,5.6729,5.6729,0,0,0
60,Speed,80,3,0.197858158,30.5462766,65.87,20,20,4.1955,4.1955,0,0,0
61,Speed,80,3,0.197858158,36.45421801,71.99,20,20,4.7227,4.7227,0,0,0
62,Speed,80,3,0.197858158,31.37885845,63.19,20,20,4.9685,4.9685,0,0,0
63,Speed,80,3,0.197858158,33.68257009,72.24,20,20,4.8254,4.8254,0,0,0
64,Speed,80,3,0.197858158,38.97151376,71.56,20,20,4.9451,4.9451,0,0,0
65,Speed,80,3,0.197858158,37.83556075,83.96,20,20,5.2028,5.2028,0,0,0
66,Speed,80,3,0.197858158,30.81365297,57.77,20,20,4.9461,4.9461,0,0,0
77,Speed,120,5,0.197858158,63.49973856,173.67,6.666666667,19,2.1666,4.8746,0.70055,1.1749,2
78,Speed,120,5,0.197858158,71.90271111,134.16,10,20,2.5016,4.7176,0.226,0.226,1
79,Speed,120,5,0.197858158,77.70688889,167.95,6.666666667,20,1.5708,4.0703,0.4443,0.6628,2
80,Speed,120,5,0.197858158,39.7946332,85.07,10,20,2.9146,5.519,0.2256,0.2256,1
81,Speed,120,5,0.197858158,38.110625,85.72,10,20,2.43485,4.5592,0.153,0.153,1
82,Speed,120,5,0.197858158,76.76125,139.88,10,20,3.0664,5.822,0.2262,0.2262,1
83,Speed,120,5,0.197858158,32.72369863,118.11,10,20,2.4386,4.5414,0.1527,0.1527,1
84,Speed,120,5,0.197858158,85.16550218,181.75,10,20,2.5159,4.7208,0.2985,0.2985,1
85,Speed,120,5,0.197858158,47.39119266,96.17,20,20,4.9439,4.9439,0,0,0
86,Speed,120,5,0.197858158,61.67528037,106.22,10,20,2.3381,4.3655,0.2982,0.2982,1
87,Speed,120,5,0.197858158,118.2516105,176.73,10,20,3.01405,5.7425,0.2255,0.2255,1
