,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,distance,PayOffFunction,TrialNumber,prediction,is_test
620,120,3,0.264108158,23.20666667,46.73,20.0,20,5.3999,5.3999,0.0,0.0,0,1.00000544480997,Speed,77,Speed,False
203,120,3,0.393889211,46.80740175,81.03,5.0,10,2.397825,4.615,1.1742,1.7578,3,0.43175286321818795,Speed,50,Speed,False
426,120,3,0.38419394700000004,26.2672479,57.76,10.0,12,5.34495,6.2762,1.7607,1.7607,1,1.0002536587860344,Speed,23,Speed,False
432,120,3,0.38419394700000004,49.99,102.92,10.0,11,4.7342,5.2566,1.9772,1.9772,1,1.000367086348922,Speed,29,Speed,False
778,120,3,0.18430421100000002,49.06140187,79.56,20.0,20,4.7832,4.7832,0.0,0.0,0,1.000096895537192,Speed,65,Speed,False
77,120,3,0.308553684,30.97586751,71.78,10.0,12,3.5507,4.4381,0.8112,0.8112,1,-0.4247578365140132,Speed,94,Accuracy,False
439,120,3,0.38419394700000004,21.70142433,67.72,10.0,10,3.70165,3.8711,1.321,1.321,1,-0.7696442247902358,Speed,36,Accuracy,False
244,120,3,0.469810526,31.05748815,85.92,20.0,20,10.2107,10.2107,0.0,0.0,0,0.9996797731744564,Speed,111,Speed,False
823,120,3,0.39416947399999996,18.60656987,41.15,10.0,11,5.6383,5.7477,5.6329,5.6329,1,1.000056322140507,Speed,20,Speed,False
882,120,3,0.382399459,22.59144044,56.69,6.666666667,15,2.469066667,5.7563,1.5016,1.6102,2,1.8192370762198902,Speed,109,Speed,False
761,120,3,0.18430421100000002,26.48636364,58.58,20.0,20,4.4256,4.4256,0.0,0.0,0,1.019454387542579,Speed,48,Speed,False
631,120,3,0.264108158,43.8588,80.33,20.0,20,6.3518,6.3518,0.0,0.0,0,1.2790532495594338,Speed,88,Speed,False
243,120,3,0.469810526,38.76118598,90.24,20.0,20,8.7477,8.7477,0.0,0.0,0,1.5740784382206705,Speed,110,Speed,False
253,120,3,0.469810526,42.8673494,93.72,20.0,20,9.871,9.871,0.0,0.0,0,2.8412275204196904,Speed,120,Speed,False
534,120,3,0.286344211,58.423983400000004,87.17,10.0,10,2.6772,3.1455,0.2989,0.2989,1,1.238253558174967,Speed,61,Speed,False
1603,120,3,0.211221579,24.84647343,55.59,10.0,10,2.1782,2.6748,0.7372,0.7372,1,-1.4708670435843363,Accuracy,110,Accuracy,False
1740,120,3,0.258833158,31.3874359,52.27,6.666666667,9,1.8784666669999999,1.9071,0.88355,1.3208,2,-2.9973540732237627,Accuracy,77,Accuracy,False
