,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,distance,PayOffFunction,prediction,is_test
903,80,5,0.382399459,31.57549195,72.64,4.0,6,2.1693599999999997,2.4436,1.6827,1.9149,4,-0.4617311679164615,Speed,Accuracy,True
699,80,5,0.184142105,33.8907393,83.05,10.0,12,2.7051,2.7691,1.1734,1.1734,1,0.8521686767561576,Speed,Speed,True
602,80,5,0.264108158,25.87172662,65.15,10.0,13,2.9261,3.3930000000000002,1.5148,1.5148,1,0.778492163873814,Speed,Speed,True
357,80,5,0.31691631600000003,42.82678431,112.75,3.333333333,6,1.450183333,2.3480000000000003,1.82928,3.0909,5,0.17013872067969515,Speed,Speed,True
558,80,5,0.286344211,41.66979167,81.75,6.666666667,11,1.9466,3.0708,1.03525,1.0357,2,0.8427291906449526,Speed,Speed,True
542,80,5,0.286344211,68.30806557,130.61,6.666666667,13,2.187766667,4.322,0.62445,0.8991,2,3.3230612609631365,Speed,Speed,True
407,80,5,0.38419394700000004,64.24010582,138.35,6.666666667,10,2.455366667,3.1418,1.97795,2.8506,2,1.4113136770244026,Speed,Speed,True
221,80,5,0.393889211,31.87657407,90.46,2.857142857,5,1.4422571430000002,2.4137,1.36615,2.1297,6,0.11129910323814585,Speed,Speed,True
404,80,5,0.38419394700000004,47.44444134,163.04,5.0,7,1.635325,2.0303,1.5786666669999998,2.6656,3,0.4211271706491928,Speed,Speed,True
814,80,5,0.39416947399999996,49.98774194,110.89,6.666666667,13,2.6885,5.1292,0.79575,0.9671,2,3.7839832638870874,Speed,Speed,True
403,80,5,0.38419394700000004,41.44469565,106.71,6.666666667,7,2.1613,2.3552,2.1311,2.4739,2,-0.005796137471740792,Speed,Accuracy,True
687,80,5,0.184142105,61.37315126,112.48,10.0,16,2.1401,3.0804,3.0964,3.0964,1,0.7337827359175506,Speed,Speed,True
916,80,5,0.382399459,28.56783939,99.55,4.0,6,1.80856,2.3512,2.356375,3.4323,4,0.08111767149501503,Speed,Speed,True
689,80,5,0.184142105,47.11986239,138.96,10.0,17,2.22705,3.5337,1.1742,1.1742,1,1.987708868196144,Speed,Speed,True
412,80,5,0.38419394700000004,32.73579937,123.53,6.666666667,9,2.178866667,2.6617,1.1382,1.1724,2,1.1225722534907234,Speed,Speed,True
696,80,5,0.184142105,43.7696,100.27,6.666666667,9,2.0834333330000003,2.8953,1.3795,1.4465,2,0.863347889986251,Speed,Speed,True
815,80,5,0.39416947399999996,47.6476324,106.56,6.666666667,11,2.260333333,4.0974,0.89845,1.0351,2,2.6223421060819945,Speed,Speed,True
781,80,5,0.18430421100000002,39.24553073,74.61,20.0,20,3.949,3.949,0.0,0.0,0,2.5635756848597637,Speed,Speed,True
554,80,5,0.286344211,50.05415205,103.38,5.0,11,1.70715,2.7646,0.899,1.2416,3,1.4727572638518112,Speed,Speed,True
48,80,5,0.308553684,33.77066986,77.93,3.333333333,5,1.2339,1.7728,1.2673,1.3785,5,-1.0064493353904638,Speed,Accuracy,True
908,80,5,0.382399459,54.96735099,101.81,6.666666667,11,3.1295,4.9931,1.85715,1.9931,2,2.2973321725056692,Speed,Speed,True
83,80,5,0.197858158,40.7040339,97.12,4.0,11,1.1311,2.2859,0.86365,1.3073,4,0.9997208842518219,Speed,Speed,True
1731,80,5,0.258833158,23.178625,45.57,3.333333333,6,0.92125,1.37,0.96696,1.1021,5,-1.2243248893728307,Accuracy,Accuracy,True
1635,80,5,0.211221579,31.64654676,93.06,5.0,6,1.261325,1.5185,1.2388333329999999,1.3033,3,-0.6892533011745101,Accuracy,Accuracy,True
1013,80,5,0.387901155,54.35139831,157.59,10.0,13,4.01425,5.4566,8.7698,8.7698,1,-1.2798550623872345,Accuracy,Accuracy,True
1001,80,5,0.387901155,32.69735897,94.81,5.0,6,2.1469,2.3987,9.388733333,20.4141,3,-5.097515555473926,Accuracy,Accuracy,True
1262,80,5,0.223630789,48.06535565,97.2,10.0,12,2.40045,2.4632,1.7202,1.7202,1,0.46213104282345085,Accuracy,Speed,True
1486,80,5,0.403017105,31.414398499999997,80.97,4.0,5,1.9240400000000002,2.1488,2.0636,2.5452,4,-0.7370222983519099,Accuracy,Accuracy,True
1121,80,5,0.27560500000000004,38.56073593,106.93,2.5,6,0.94095,1.5813,1.231514286,1.7895,7,-0.3450645498025935,Accuracy,Accuracy,True
1586,80,5,0.451450497,38.14863475,96.29,2.5,5,1.2298375,2.0977,1.3572,2.4741,7,-0.23361362026718524,Accuracy,Accuracy,True
1482,80,5,0.403017105,37.45942308,91.84,4.0,5,2.0590200000000003,2.6782,1.393925,1.7876,4,0.21023733795846766,Accuracy,Speed,True
1623,80,5,0.211221579,35.21097902,93.82,10.0,12,3.0272,3.0662,1.4454,1.4454,1,1.258148972543161,Accuracy,Speed,True
1589,80,5,0.451450497,33.48002401,96.76,2.222222222,4,1.149466667,1.9155,3.2866375,7.4099,8,-1.4874817270451715,Accuracy,Accuracy,True
1910,80,5,0.28958236800000003,27.73747024,80.64,5.0,7,1.69745,2.3597,0.898366667,1.1724,3,0.16081815324378823,Accuracy,Speed,True
1363,80,5,0.442727895,25.30973813,73.93,2.0,4,0.81858,0.9912,1.926844444,2.886,9,-1.5575917000519368,Accuracy,Accuracy,True
1588,80,5,0.451450497,36.58685379,111.18,2.0,4,0.97491,1.6618,2.595444444,8.6388,9,-1.312357078219513,Accuracy,Accuracy,True
1274,80,5,0.223630789,36.26712251,79.06,5.0,7,1.593125,2.0044,1.5584666669999998,1.6491,3,-0.7960678281626699,Accuracy,Accuracy,True
1639,80,5,0.211221579,25.62422925,87.49,4.0,5,0.8311200000000001,1.2529,0.9670000000000001,1.1038,4,-1.0011480288860568,Accuracy,Accuracy,True
1736,80,5,0.258833158,45.50981481,105.29,4.0,6,1.3053,2.1794,1.515525,1.9980000000000002,4,-0.10514712053929287,Accuracy,Accuracy,True
1767,80,5,0.226100263,34.35786232,71.2,5.0,7,1.24725,1.7053,1.172166667,1.2409999999999999,3,-1.130818698547948,Accuracy,Accuracy,True
1778,80,5,0.226100263,42.31706044,91.52,4.0,5,1.28578,1.8544,1.327425,1.5839,4,-0.8791844045518857,Accuracy,Accuracy,True
1912,80,5,0.28958236800000003,34.61616798,75.84,5.0,6,1.830575,2.6817,1.401866667,1.8598,3,-0.48885952932993604,Accuracy,Accuracy,True
1076,80,5,0.254892354,27.91102473,77.37,3.333333333,4,0.75825,1.5482,0.9941200000000001,1.171,5,-1.1890824189323368,Accuracy,Accuracy,True
1269,80,5,0.223630789,42.02828704,89.14,3.333333333,6,1.17615,2.105,1.63792,2.1319,5,-0.7537005019921637,Accuracy,Accuracy,True
1278,80,5,0.223630789,34.71418733,86.89,5.0,5,1.648275,2.1516,1.672233333,1.7864,3,-0.7393590277564428,Accuracy,Accuracy,True
1136,80,5,0.27560500000000004,20.53984472,65.1,2.857142857,5,0.740242857,1.0227,0.966716667,1.3783,6,-1.2106288094265594,Accuracy,Accuracy,True
469,120,5,0.38419394700000004,45.93715068,104.93,10.0,14,3.90435,4.6734,2.1233,2.1233,1,1.4068751118742355,Speed,Speed,True
877,120,5,0.39416947399999996,64.75238866,138.92,3.333333333,9,1.6473,4.8693,1.07326,2.0511,5,1.673211480795949,Speed,Speed,True
461,120,5,0.38419394700000004,44.74311355,91.49,10.0,13,2.9636,3.7051,1.0295,1.0295,1,0.9334859194513072,Speed,Speed,True
295,120,5,0.469810526,61.31203125,153.14,5.0,11,2.643425,5.5697,1.7109,2.4903,3,2.1217097394300097,Speed,Speed,True
937,120,5,0.382399459,38.8825,92.75,4.0,6,2.28382,3.6258,1.90375,2.634,4,0.020614432310487985,Speed,Speed,True
863,120,5,0.39416947399999996,62.20612663,146.05,5.0,7,2.742675,3.8984,1.8029,2.182,3,0.8338682301268889,Speed,Speed,True
724,120,5,0.18430421100000002,115.56537040000002,172.8,20.0,20,4.8048,4.8048,0.0,0.0,0,5.765229479405029,Speed,Speed,True
20,120,5,0.308553684,35.35212245,82.4,4.0,7,1.75954,2.78,2.028425,2.6315,4,-0.7471649966487277,Speed,Accuracy,True
158,120,5,0.197858158,21.22626214,61.8,10.0,20,2.2396,4.1937,0.2979,0.2979,1,2.199744345969755,Speed,Speed,True
922,120,5,0.382399459,59.14976546,165.7,5.0,7,2.242,3.0802,2.040866667,2.3895,3,0.38809406695902027,Speed,Speed,True
588,120,5,0.264108158,58.59464516,118.36,10.0,14,3.327,4.4101,1.6155,1.6155,1,1.3766345338684758,Speed,Speed,True
732,120,5,0.18430421100000002,78.69526316,128.39,20.0,20,4.9121,4.9121,0.0,0.0,0,2.4061916820354057,Speed,Speed,True
660,120,5,0.184142105,61.630387600000006,96.37,6.666666667,10,1.745033333,2.8461,0.92,1.5412,2,0.0804879950362718,Speed,Speed,True
493,120,5,0.286344211,51.68919414,113.95,6.666666667,9,1.980733333,2.3344,0.3736,0.3744,2,-0.040202310909073447,Speed,Accuracy,True
159,120,5,0.197858158,44.74952174,113.51,10.0,20,2.51715,4.6984,0.2986,0.2986,1,1.9951180640805504,Speed,Speed,True
929,120,5,0.382399459,57.10064182,138.41,6.666666667,11,3.446233333,5.4415,1.5745,1.6095,2,2.299708711411661,Speed,Speed,True
156,120,5,0.197858158,95.49609589,199.97,10.0,20,3.3159,6.2704,0.2987,0.2987,1,1.8711116708618434,Speed,Speed,True
30,120,5,0.308553684,36.4647929,89.87,6.666666667,11,2.501633333,3.8333,0.9533,1.3898,2,0.7567145030529971,Speed,Speed,True
142,120,5,0.197858158,77.70688889,167.95,6.666666667,20,1.5708,4.0703,0.4443,0.6628,2,0.999208381184566,Speed,Speed,True
599,120,5,0.264108158,43.72246622,107.51,10.0,12,3.15145,3.4138,1.5406,1.5406,1,0.36872820864960687,Speed,Speed,True
25,120,5,0.308553684,64.33812698,133.84,6.666666667,11,2.1642666669999997,3.1458,1.3565,1.9751,2,0.31528273470991763,Speed,Speed,True
720,120,5,0.18430421100000002,42.31417526,87.12,20.0,20,4.2601,4.2601,0.0,0.0,0,1.9825950268093564,Speed,Speed,True
879,120,5,0.39416947399999996,60.32765909,137.08,4.0,8,1.84844,3.1201,0.773325,1.0290000000000001,4,0.5392859852613654,Speed,Speed,True
486,120,5,0.286344211,50.10035144,111.29,4.0,9,1.27298,2.3427,0.517925,1.0281,4,-0.26395668851602494,Speed,Accuracy,True
63,120,3,0.308553684,41.65507092,92.59,10.0,12,3.0129,3.7768,1.3931,1.3931,1,-0.7227540612227514,Speed,Accuracy,True
532,120,3,0.286344211,50.74192308,82.74,20.0,20,7.2544,7.2544,0.0,0.0,0,1.2264996398814745,Speed,Speed,True
830,120,3,0.39416947399999996,50.32202509,137.08,6.666666667,15,3.963533333,8.8665,2.05335,2.858,2,3.047828685842042,Speed,Speed,True
833,120,3,0.39416947399999996,42.65098859,111.42,6.666666667,9,3.784433333,5.3563,1.7589,2.6346,2,0.4384381195457152,Speed,Speed,True
524,120,3,0.286344211,24.16790514,47.5,10.0,13,2.8395,4.0563,0.2265,0.2265,1,-0.7783959235589393,Speed,Accuracy,True
883,120,3,0.382399459,31.57102397,94.93,6.666666667,13,3.0937,5.275,2.41505,3.5083,2,0.3770899970863937,Speed,Speed,True
898,120,3,0.382399459,21.998040200000002,60.42,6.666666667,12,2.7776333330000003,5.1712,1.50365,2.0496,2,0.005894649037038846,Speed,Speed,True
633,120,3,0.264108158,47.94864469,80.31,20.0,20,6.3211,6.3211,0.0,0.0,0,1.1550963711414468,Speed,Speed,True
620,120,3,0.264108158,23.20666667,46.73,20.0,20,5.3999,5.3999,0.0,0.0,0,1.0920366500450953,Speed,Speed,True
336,120,3,0.31691631600000003,31.42535826,50.0,20.0,20,7.52,7.52,0.0,0.0,0,0.9815278226080935,Speed,Speed,True
106,120,3,0.197858158,26.15048035,43.78,10.0,20,2.51415,4.7175,0.3718,0.3718,1,1.0004117785462157,Speed,Speed,True
256,120,3,0.469810526,41.88995122,64.43,20.0,20,9.7448,9.7448,0.0,0.0,0,1.0594517613662973,Speed,Speed,True
709,120,3,0.184142105,47.71528846,88.64,20.0,20,4.6717,4.6717,0.0,0.0,0,0.7943215423738437,Speed,Speed,True
