;Radius;Noise;IKINumber;MeanDeviation;MaxDeviation;MeanNrDigits;MaxNrDigits;MeanTimeTypingWindow;MaxTimeTypingWindow;MeanTrackingTime;MaxTrackingTime;TrackingWindowVisitCounter;TrialNumber;distance;prediction;label;is_test;SubjectNr;TrialNumber;Block;Score
77;120;3;0.308553684;3.097.586.751;71.78;10.0;12;35.507;44.381;0.8112;0.8112;1;94;-0.6129813802795011;Accuracy;Speed;FALSE;101;94;4;0.077
78;120;3;0.308553684;4.008.037.801;73.73;10.0;11;31.129;34.730.000.000.000.000;1.464;1.464;1;95;-1.487.112.178.208.850;Accuracy;Speed;FALSE;101;95;4;0.081
79;120;3;0.308553684;2.314.992.982;61.42;10.0;11;31.125;35.346;0.9556;0.9556;1;96;-0.9135620003640893;Accuracy;Speed;FALSE;101;96;4;0.091
80;80;5;0.197858158;4.762.627.986;117.32;6.666.666.667;9;18.768;23.661;15.106;16.434;2;107;10.000.674.906.671.000;Speed;Speed;FALSE;102;107;1;-0.024
81;80;5;0.197858158;2.860.691.318;72.3;6.666.666.667;12;20.892;3.702;117.175;13.086;2;108;10.001.424.454.491.800;Speed;Speed;FALSE;102;108;1;0.035
82;80;5;0.197858158;3.876.024.476;84.65;5.0;11;1.409.775;28.439;0.8069666670000001;11.046;3;109;0.8089466881608024;Speed;Speed;FALSE;102;109;1;0.074
83;80;5;0.197858158;407.040.339;97.12;4.0;11;11.311;22.859;0.86365;13.073;4;110;0.9999925571601939;Speed;Speed;FALSE;102;110;1;0.028
84;80;5;0.197858158;4.904.458.042;114.09;5.0;13;15.925.666.669.999.900;29.495;-1.845.366.667;16.516;2;111;31.105.032.613.670.200;Speed;Speed;FALSE;102;111;1;-0.096
85;80;5;0.197858158;3.038.832.258;71.24;5.0;9;1.486.125;23.577;1.034.233.333;13.773;3;112;-0.4339476774548471;Accuracy;Speed;FALSE;102;112;2;0.039
86;80;5;0.197858158;236.612.628;49.11;6.666.666.667;9;2.003.833.333;24.325;0.9324;10.355;2;113;-0.6889489604558351;Accuracy;Speed;TRUE;102;113;2;0.058
87;80;5;0.197858158;3.210.732.558;68.36;6.666.666.667;8;17.119.666.669.999.900;22.665;0.96605;10.343;2;114;-0.8053623134063818;Accuracy;Speed;FALSE;102;114;2;0.083
88;80;5;0.197858158;325.389.521;104.24;5.0;6;159.155;18.506;12.162;17.851;3;115;0.5093443781239785;Speed;Speed;FALSE;102;115;2;0.018
89;80;5;0.197858158;2.743.390.476;69.2;5.0;6;1.549.825;17.892;0.988066667;10.333;3;116;-13.447.638.985.714.300;Accuracy;Speed;FALSE;102;116;2;0.048
90;80;5;0.197858158;2.467.424.138;55.97;4.0;9;113.236;22.276;0.812475;13.093;4;117;-0.6912034321267834;Accuracy;Speed;FALSE;102;117;3;0.051
91;80;5;0.197858158;4.353.866.906;93.51;6.666.666.667;9;1.829.566.667;26.442;113.765;12.409;2;118;0.41020553540900784;Speed;Speed;FALSE;102;118;3;0.049
92;80;5;0.197858158;4.277.890.977;109.97;6.666.666.667;8;1.808.033.333;22.069;10.338;13.081;2;119;0.8091607018642916;Speed;Speed;FALSE;102;119;3;0.03
93;80;5;0.197858158;3.899.874.598;94.83;6.666.666.667;9;2.082.833.333;22.115;113.775;11.726;2;120;0.4448575360137538;Speed;Speed;FALSE;102;120;3;0.013
94;80;5;0.197858158;5.554.358.362;124.97;6.666.666.667;9;17.694.666.669.999.900;20.044;19.241;22.649;2;121;0.3525768535855117;Speed;Speed;FALSE;102;121;3;-0.04
95;80;5;0.197858158;3.139.408.907;90.06;10.0;12;26.507;28.634;0.8988;0.8988;1;122;0.7513043148254331;Speed;Speed;FALSE;102;122;4;0.103
96;80;5;0.197858158;4.573.546.243;100.06;5.0;7;159.865;19.545;14.464;17.201;3;123;-0.4824470910887614;Accuracy;Speed;FALSE;102;123;4;-0.019
97;80;5;0.197858158;7.090.213.058;140.87;6.666.666.667;10;18.033;23.325;17.121;28.697;2;124;21.247.757.841.628.900;Speed;Speed;FALSE;102;124;4;-0.188
98;80;5;0.197858158;4.201.970.213;102.62;10.0;10;240.065;27.951;14.455;14.455;1;125;0.9409177010138473;Speed;Speed;FALSE;102;125;4;0.082
99;80;5;0.197858158;2.645.233.962;63.39;6.666.666.667;13;18.194;27.422;0.7609999999999999;0.966;2;126;0.5075150258362792;Speed;Speed;FALSE;102;126;4;0.095
100;120;3;0.197858158;2.477.660.633;54.63;10.0;11;24.284;27.512;0.2988;0.2988;1;17;-15.787.747.741.618.900;Accuracy;Speed;FALSE;102;17;1;0.135
101;120;3;0.197858158;5.736.366.366;95.24;5.0;11;162.395;30.993;1.124.533.333;26.302;3;18;-0.8414625959488985;Accuracy;Speed;FALSE;102;18;1;0.029
